,mean,date
453475.0,15142.76023044752,2012-01-01
453477.0,15109.457756898852,2012-01-01
453479.0,15156.428938321576,2012-01-01
453491.0,15218.636685645262,2012-01-01
453493.0,15261.016961403247,2012-01-01
453495.0,15231.730456088137,2012-01-01
453497.0,15141.25452338975,2012-01-01
453499.0,15219.259425837769,2012-01-01
453801.0,15158.037791271976,2012-01-01
453803.0,15209.309569398738,2012-01-01
453805.0,15159.948994741551,2012-01-01
453807.0,15182.0775369176,2012-01-01
453809.0,15098.523195701297,2012-01-01
454061.0,15090.64150503271,2012-01-01
454063.0,14847.065418053438,2012-01-01
454065.0,14829.791797314443,2012-01-01
454067.0,14816.63972073024,2012-01-01
454069.0,14865.548803289315,2012-01-01
452100.0,14690.523925642008,2012-01-01
452300.0,14744.132788998071,2012-01-01
453141.0,14770.123534837028,2012-01-01
453143.0,14774.108893743953,2012-01-01
453145.0,14809.762137599591,2012-01-01
453147.0,14816.55889727523,2012-01-01
453149.0,14694.587742796735,2012-01-01
453210.0,14900.364393768228,2012-01-01
453230.0,14908.033839124331,2012-01-01
453250.0,14813.238973593094,2012-01-01
453270.0,14901.173444581236,2012-01-01
453291.0,14896.924768174977,2012-01-01
453293.0,14891.448501325078,2012-01-01
453295.0,14875.619927293505,2012-01-01
453297.0,14896.50798722572,2012-01-01
453299.0,14900.556467768758,2012-01-01
453410.0,15028.674939406956,2012-01-01
453430.0,15096.596978119913,2012-01-01
453450.0,15103.090176222748,2012-01-01
453461.0,15118.17732625088,2012-01-01
453463.0,15094.535278386602,2012-01-01
453478.0,15266.228106330698,2012-01-01
453481.0,15103.66207079822,2012-01-01
453483.0,15213.374634790604,2012-01-01
453485.0,15284.158223056666,2012-01-01
453492.0,15227.671249547406,2012-01-01
453494.0,15267.817637866105,2012-01-01
453487.0,15316.090074856327,2012-01-01
453489.0,15258.0026697472,2012-01-01
453496.0,15227.647101679033,2012-01-01
453498.0,15233.644586823422,2012-01-01
453806.0,15197.21839100629,2012-01-01
453808.0,15158.839567022183,2012-01-01
454062.0,15054.376371377351,2012-01-01
454064.0,14841.843923403389,2012-01-01
454066.0,14770.621160153809,2012-01-01
454068.0,14809.361520156615,2012-01-01
452411.0,14722.191506738824,2012-01-01
452413.0,14706.90319092186,2012-01-01
452415.0,14705.044908482372,2012-01-01
452417.0,14667.9719082914,2012-01-01
452419.0,14663.558573157728,2012-01-01
452431.0,14757.65770902474,2012-01-01
452433.0,14636.472991324192,2012-01-01
452435.0,14742.030602479048,2012-01-01
452437.0,14632.481527733584,2012-01-01
453146.0,14796.2611449364,2012-01-01
453148.0,14704.971834512511,2012-01-01
453240.0,14789.026416162502,2012-01-01
453260.0,14750.076798471764,2012-01-01
453280.0,14929.118044917715,2012-01-01
453292.0,14760.356428305286,2012-01-01
453294.0,14812.307837072463,2012-01-01
453296.0,14863.570273930429,2012-01-01
453298.0,14933.44896978932,2012-01-01
453464.0,14934.262761850678,2012-01-01
453482.0,15293.262003023518,2012-01-01
453484.0,15319.465619867797,2012-01-01
453486.0,15326.630277303946,2012-01-01
453488.0,15311.858597593258,2012-01-01
452438.0,14727.019850281034,2012-01-01
453471.0,15394.528564846712,2012-02-01
453473.0,15324.49601614414,2012-02-01
453475.0,15320.813472926267,2012-02-01
453477.0,15299.951704655648,2012-02-01
453479.0,15333.473954252184,2012-02-01
453491.0,15431.267485625242,2012-02-01
